Log:
DateTime: 21.03 12.10.2025.

Model: ResNet101
Loss function: CrossEntropyLoss
Optimizer: SGD

HyperParameters:
- Number of epochs: 3
- Batch size: 128
- Learning rate: 0.001


ConsoleLog:
Streaming output truncated to the last 5000 lines.
Training:  29% 369/1293 [01:16<03:07,  4.92batch/s, Train loss=1.1448, Train accuracy=0.4387]
Training:  29% 369/1293 [01:16<03:07,  4.92batch/s, Train loss=1.1451, Train accuracy=0.4389]
Training:  29% 370/1293 [01:16<03:08,  4.90batch/s, Train loss=1.1451, Train accuracy=0.4389]
Training:  29% 370/1293 [01:16<03:08,  4.90batch/s, Train loss=1.1451, Train accuracy=0.4390]
Training:  29% 371/1293 [01:16<03:06,  4.94batch/s, Train loss=1.1451, Train accuracy=0.4390]
Training:  29% 371/1293 [01:16<03:06,  4.94batch/s, Train loss=1.1449, Train accuracy=0.4391]
Training:  29% 372/1293 [01:16<03:05,  4.95batch/s, Train loss=1.1449, Train accuracy=0.4391]
Training:  29% 372/1293 [01:17<03:05,  4.95batch/s, Train loss=1.1446, Train accuracy=0.4393]
Training:  29% 373/1293 [01:17<03:05,  4.96batch/s, Train loss=1.1446, Train accuracy=0.4393]
Training:  29% 373/1293 [01:17<03:05,  4.96batch/s, Train loss=1.1443, Train accuracy=0.4393]
Training:  29% 374/1293 [01:17<03:12,  4.78batch/s, Train loss=1.1443, Train accuracy=0.4393]
Training:  29% 374/1293 [01:17<03:12,  4.78batch/s, Train loss=1.1440, Train accuracy=0.4394]
Training:  29% 375/1293 [01:17<03:10,  4.82batch/s, Train loss=1.1440, Train accuracy=0.4394]
Training:  29% 375/1293 [01:17<03:10,  4.82batch/s, Train loss=1.1439, Train accuracy=0.4396]
Training:  29% 376/1293 [01:17<03:11,  4.78batch/s, Train loss=1.1439, Train accuracy=0.4396]
Training:  29% 376/1293 [01:17<03:11,  4.78batch/s, Train loss=1.1437, Train accuracy=0.4398]
Training:  29% 377/1293 [01:17<03:11,  4.79batch/s, Train loss=1.1437, Train accuracy=0.4398]
Training:  29% 377/1293 [01:18<03:11,  4.79batch/s, Train loss=1.1437, Train accuracy=0.4397]
Training:  29% 378/1293 [01:18<03:08,  4.84batch/s, Train loss=1.1437, Train accuracy=0.4397]
Training:  29% 378/1293 [01:18<03:08,  4.84batch/s, Train loss=1.1440, Train accuracy=0.4397]
Training:  29% 379/1293 [01:18<03:11,  4.77batch/s, Train loss=1.1440, Train accuracy=0.4397]
Training:  29% 379/1293 [01:18<03:11,  4.77batch/s, Train loss=1.1437, Train accuracy=0.4397]
Training:  29% 380/1293 [01:18<03:09,  4.83batch/s, Train loss=1.1437, Train accuracy=0.4397]
Training:  29% 380/1293 [01:18<03:09,  4.83batch/s, Train loss=1.1438, Train accuracy=0.4396]
Training:  29% 381/1293 [01:18<03:07,  4.87batch/s, Train loss=1.1438, Train accuracy=0.4396]
Training:  29% 381/1293 [01:18<03:07,  4.87batch/s, Train loss=1.1435, Train accuracy=0.4397]
Training:  30% 382/1293 [01:18<03:06,  4.89batch/s, Train loss=1.1435, Train accuracy=0.4397]
Training:  30% 382/1293 [01:19<03:06,  4.89batch/s, Train loss=1.1436, Train accuracy=0.4397]
Training:  30% 383/1293 [01:19<03:06,  4.89batch/s, Train loss=1.1436, Train accuracy=0.4397]
Training:  30% 383/1293 [01:19<03:06,  4.89batch/s, Train loss=1.1434, Train accuracy=0.4397]
Training:  30% 384/1293 [01:19<03:10,  4.77batch/s, Train loss=1.1434, Train accuracy=0.4397]
Training:  30% 384/1293 [01:19<03:10,  4.77batch/s, Train loss=1.1434, Train accuracy=0.4397]
Training:  30% 385/1293 [01:19<03:09,  4.80batch/s, Train loss=1.1434, Train accuracy=0.4397]
Training:  30% 385/1293 [01:19<03:09,  4.80batch/s, Train loss=1.1431, Train accuracy=0.4398]
Training:  30% 386/1293 [01:19<03:06,  4.85batch/s, Train loss=1.1431, Train accuracy=0.4398]
Training:  30% 386/1293 [01:19<03:06,  4.85batch/s, Train loss=1.1434, Train accuracy=0.4396]
Training:  30% 387/1293 [01:19<03:05,  4.88batch/s, Train loss=1.1434, Train accuracy=0.4396]
Training:  30% 387/1293 [01:20<03:05,  4.88batch/s, Train loss=1.1436, Train accuracy=0.4393]
Training:  30% 388/1293 [01:20<03:05,  4.88batch/s, Train loss=1.1436, Train accuracy=0.4393]
Training:  30% 388/1293 [01:20<03:05,  4.88batch/s, Train loss=1.1433, Train accuracy=0.4397]
Training:  30% 389/1293 [01:20<03:07,  4.81batch/s, Train loss=1.1433, Train accuracy=0.4397]
Training:  30% 389/1293 [01:20<03:07,  4.81batch/s, Train loss=1.1432, Train accuracy=0.4398]
Training:  30% 390/1293 [01:20<03:07,  4.81batch/s, Train loss=1.1432, Train accuracy=0.4398]
Training:  30% 390/1293 [01:20<03:07,  4.81batch/s, Train loss=1.1429, Train accuracy=0.4399]
Training:  30% 391/1293 [01:20<03:05,  4.87batch/s, Train loss=1.1429, Train accuracy=0.4399]
Training:  30% 391/1293 [01:20<03:05,  4.87batch/s, Train loss=1.1432, Train accuracy=0.4398]
Training:  30% 392/1293 [01:20<03:06,  4.84batch/s, Train loss=1.1432, Train accuracy=0.4398]
Training:  30% 392/1293 [01:21<03:06,  4.84batch/s, Train loss=1.1431, Train accuracy=0.4396]
Training:  30% 393/1293 [01:21<03:04,  4.89batch/s, Train loss=1.1431, Train accuracy=0.4396]
Training:  30% 393/1293 [01:21<03:04,  4.89batch/s, Train loss=1.1434, Train accuracy=0.4395]
Training:  30% 394/1293 [01:21<03:06,  4.81batch/s, Train loss=1.1434, Train accuracy=0.4395]
Training:  30% 394/1293 [01:21<03:06,  4.81batch/s, Train loss=1.1437, Train accuracy=0.4395]
Training:  31% 395/1293 [01:21<03:05,  4.85batch/s, Train loss=1.1437, Train accuracy=0.4395]
Training:  31% 395/1293 [01:21<03:05,  4.85batch/s, Train loss=1.1441, Train accuracy=0.4396]
Training:  31% 396/1293 [01:21<03:03,  4.88batch/s, Train loss=1.1441, Train accuracy=0.4396]
Training:  31% 396/1293 [01:21<03:03,  4.88batch/s, Train loss=1.1443, Train accuracy=0.4395]
Training:  31% 397/1293 [01:21<03:02,  4.91batch/s, Train loss=1.1443, Train accuracy=0.4395]
Training:  31% 397/1293 [01:22<03:02,  4.91batch/s, Train loss=1.1439, Train accuracy=0.4397]
Training:  31% 398/1293 [01:22<03:02,  4.91batch/s, Train loss=1.1439, Train accuracy=0.4397]
Training:  31% 398/1293 [01:22<03:02,  4.91batch/s, Train loss=1.1438, Train accuracy=0.4398]
Training:  31% 399/1293 [01:22<03:02,  4.90batch/s, Train loss=1.1438, Train accuracy=0.4398]
Training:  31% 399/1293 [01:22<03:02,  4.90batch/s, Train loss=1.1434, Train accuracy=0.4399]
Training:  31% 400/1293 [01:22<03:07,  4.77batch/s, Train loss=1.1434, Train accuracy=0.4399]
Training:  31% 400/1293 [01:22<03:07,  4.77batch/s, Train loss=1.1438, Train accuracy=0.4396]
Training:  31% 401/1293 [01:22<03:06,  4.77batch/s, Train loss=1.1438, Train accuracy=0.4396]
Training:  31% 401/1293 [01:23<03:06,  4.77batch/s, Train loss=1.1441, Train accuracy=0.4393]
Training:  31% 402/1293 [01:23<03:07,  4.75batch/s, Train loss=1.1441, Train accuracy=0.4393]
Training:  31% 402/1293 [01:23<03:07,  4.75batch/s, Train loss=1.1442, Train accuracy=0.4391]
Training:  31% 403/1293 [01:23<03:06,  4.78batch/s, Train loss=1.1442, Train accuracy=0.4391]
Training:  31% 403/1293 [01:23<03:06,  4.78batch/s, Train loss=1.1440, Train accuracy=0.4391]
Training:  31% 404/1293 [01:23<03:09,  4.69batch/s, Train loss=1.1440, Train accuracy=0.4391]
Training:  31% 404/1293 [01:23<03:09,  4.69batch/s, Train loss=1.1438, Train accuracy=0.4392]
Training:  31% 405/1293 [01:23<03:10,  4.66batch/s, Train loss=1.1438, Train accuracy=0.4392]
Training:  31% 405/1293 [01:23<03:10,  4.66batch/s, Train loss=1.1438, Train accuracy=0.4390]
Training:  31% 406/1293 [01:23<03:08,  4.70batch/s, Train loss=1.1438, Train accuracy=0.4390]
Training:  31% 406/1293 [01:24<03:08,  4.70batch/s, Train loss=1.1436, Train accuracy=0.4392]
Training:  31% 407/1293 [01:24<03:07,  4.72batch/s, Train loss=1.1436, Train accuracy=0.4392]
Training:  31% 407/1293 [01:24<03:07,  4.72batch/s, Train loss=1.1437, Train accuracy=0.4391]
Training:  32% 408/1293 [01:24<03:06,  4.74batch/s, Train loss=1.1437, Train accuracy=0.4391]
Training:  32% 408/1293 [01:24<03:06,  4.74batch/s, Train loss=1.1434, Train accuracy=0.4393]
Training:  32% 409/1293 [01:24<03:05,  4.76batch/s, Train loss=1.1434, Train accuracy=0.4393]
Training:  32% 409/1293 [01:24<03:05,  4.76batch/s, Train loss=1.1434, Train accuracy=0.4393]
Training:  32% 410/1293 [01:24<03:04,  4.78batch/s, Train loss=1.1434, Train accuracy=0.4393]
Training:  32% 410/1293 [01:24<03:04,  4.78batch/s, Train loss=1.1435, Train accuracy=0.4393]
Training:  32% 411/1293 [01:24<03:04,  4.79batch/s, Train loss=1.1435, Train accuracy=0.4393]
Training:  32% 411/1293 [01:25<03:04,  4.79batch/s, Train loss=1.1438, Train accuracy=0.4392]
Training:  32% 412/1293 [01:25<03:08,  4.67batch/s, Train loss=1.1438, Train accuracy=0.4392]
Training:  32% 412/1293 [01:25<03:08,  4.67batch/s, Train loss=1.1437, Train accuracy=0.4394]
Training:  32% 413/1293 [01:25<03:07,  4.68batch/s, Train loss=1.1437, Train accuracy=0.4394]
Training:  32% 413/1293 [01:25<03:07,  4.68batch/s, Train loss=1.1440, Train accuracy=0.4393]
Training:  32% 414/1293 [01:25<03:07,  4.70batch/s, Train loss=1.1440, Train accuracy=0.4393]
Training:  32% 414/1293 [01:25<03:07,  4.70batch/s, Train loss=1.1443, Train accuracy=0.4394]
Training:  32% 415/1293 [01:25<03:09,  4.64batch/s, Train loss=1.1443, Train accuracy=0.4394]
Training:  32% 415/1293 [01:26<03:09,  4.64batch/s, Train loss=1.1443, Train accuracy=0.4393]
Training:  32% 416/1293 [01:26<03:06,  4.69batch/s, Train loss=1.1443, Train accuracy=0.4393]
Training:  32% 416/1293 [01:26<03:06,  4.69batch/s, Train loss=1.1440, Train accuracy=0.4394]
Training:  32% 417/1293 [01:26<03:03,  4.77batch/s, Train loss=1.1440, Train accuracy=0.4394]
Training:  32% 417/1293 [01:26<03:03,  4.77batch/s, Train loss=1.1443, Train accuracy=0.4391]
Training:  32% 418/1293 [01:26<03:00,  4.85batch/s, Train loss=1.1443, Train accuracy=0.4391]
Training:  32% 418/1293 [01:26<03:00,  4.85batch/s, Train loss=1.1445, Train accuracy=0.4392]
Training:  32% 419/1293 [01:26<02:59,  4.88batch/s, Train loss=1.1445, Train accuracy=0.4392]
Training:  32% 419/1293 [01:26<02:59,  4.88batch/s, Train loss=1.1448, Train accuracy=0.4391]
Training:  32% 420/1293 [01:26<02:57,  4.92batch/s, Train loss=1.1448, Train accuracy=0.4391]
Training:  32% 420/1293 [01:27<02:57,  4.92batch/s, Train loss=1.1451, Train accuracy=0.4391]
Training:  33% 421/1293 [01:27<02:56,  4.94batch/s, Train loss=1.1451, Train accuracy=0.4391]
Training:  33% 421/1293 [01:27<02:56,  4.94batch/s, Train loss=1.1453, Train accuracy=0.4389]
Training:  33% 422/1293 [01:27<02:56,  4.93batch/s, Train loss=1.1453, Train accuracy=0.4389]
Training:  33% 422/1293 [01:27<02:56,  4.93batch/s, Train loss=1.1453, Train accuracy=0.4389]
Training:  33% 423/1293 [01:27<02:57,  4.91batch/s, Train loss=1.1453, Train accuracy=0.4389]
Training:  33% 423/1293 [01:27<02:57,  4.91batch/s, Train loss=1.1453, Train accuracy=0.4391]
Training:  33% 424/1293 [01:27<02:55,  4.94batch/s, Train loss=1.1453, Train accuracy=0.4391]
Training:  33% 424/1293 [01:27<02:55,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4391]
Training:  33% 425/1293 [01:27<02:55,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4391]
Training:  33% 425/1293 [01:28<02:55,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4391]
Training:  33% 426/1293 [01:28<02:55,  4.95batch/s, Train loss=1.1452, Train accuracy=0.4391]
Training:  33% 426/1293 [01:28<02:55,  4.95batch/s, Train loss=1.1452, Train accuracy=0.4391]
Training:  33% 427/1293 [01:28<02:55,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4391]
Training:  33% 427/1293 [01:28<02:55,  4.94batch/s, Train loss=1.1451, Train accuracy=0.4390]
Training:  33% 428/1293 [01:28<02:54,  4.94batch/s, Train loss=1.1451, Train accuracy=0.4390]
Training:  33% 428/1293 [01:28<02:54,  4.94batch/s, Train loss=1.1449, Train accuracy=0.4392]
Training:  33% 429/1293 [01:28<02:54,  4.95batch/s, Train loss=1.1449, Train accuracy=0.4392]
Training:  33% 429/1293 [01:28<02:54,  4.95batch/s, Train loss=1.1453, Train accuracy=0.4392]
Training:  33% 430/1293 [01:28<02:54,  4.95batch/s, Train loss=1.1453, Train accuracy=0.4392]
Training:  33% 430/1293 [01:29<02:54,  4.95batch/s, Train loss=1.1458, Train accuracy=0.4390]
Training:  33% 431/1293 [01:29<02:53,  4.96batch/s, Train loss=1.1458, Train accuracy=0.4390]
Training:  33% 431/1293 [01:29<02:53,  4.96batch/s, Train loss=1.1458, Train accuracy=0.4391]
Training:  33% 432/1293 [01:29<02:53,  4.96batch/s, Train loss=1.1458, Train accuracy=0.4391]
Training:  33% 432/1293 [01:29<02:53,  4.96batch/s, Train loss=1.1459, Train accuracy=0.4392]
Training:  33% 433/1293 [01:29<02:53,  4.95batch/s, Train loss=1.1459, Train accuracy=0.4392]
Training:  33% 433/1293 [01:29<02:53,  4.95batch/s, Train loss=1.1456, Train accuracy=0.4392]
Training:  34% 434/1293 [01:29<02:54,  4.91batch/s, Train loss=1.1456, Train accuracy=0.4392]
Training:  34% 434/1293 [01:29<02:54,  4.91batch/s, Train loss=1.1452, Train accuracy=0.4392]
Training:  34% 435/1293 [01:29<02:54,  4.91batch/s, Train loss=1.1452, Train accuracy=0.4392]
Training:  34% 435/1293 [01:30<02:54,  4.91batch/s, Train loss=1.1454, Train accuracy=0.4391]
Training:  34% 436/1293 [01:30<02:54,  4.91batch/s, Train loss=1.1454, Train accuracy=0.4391]
Training:  34% 436/1293 [01:30<02:54,  4.91batch/s, Train loss=1.1456, Train accuracy=0.4391]
Training:  34% 437/1293 [01:30<02:53,  4.93batch/s, Train loss=1.1456, Train accuracy=0.4391]
Training:  34% 437/1293 [01:30<02:53,  4.93batch/s, Train loss=1.1459, Train accuracy=0.4391]
Training:  34% 438/1293 [01:30<02:53,  4.92batch/s, Train loss=1.1459, Train accuracy=0.4391]
Training:  34% 438/1293 [01:30<02:53,  4.92batch/s, Train loss=1.1459, Train accuracy=0.4391]
Training:  34% 439/1293 [01:30<02:53,  4.93batch/s, Train loss=1.1459, Train accuracy=0.4391]
Training:  34% 439/1293 [01:30<02:53,  4.93batch/s, Train loss=1.1457, Train accuracy=0.4390]
Training:  34% 440/1293 [01:30<02:53,  4.92batch/s, Train loss=1.1457, Train accuracy=0.4390]
Training:  34% 440/1293 [01:31<02:53,  4.92batch/s, Train loss=1.1457, Train accuracy=0.4391]
Training:  34% 441/1293 [01:31<02:52,  4.93batch/s, Train loss=1.1457, Train accuracy=0.4391]
Training:  34% 441/1293 [01:31<02:52,  4.93batch/s, Train loss=1.1457, Train accuracy=0.4391]
Training:  34% 442/1293 [01:31<02:52,  4.93batch/s, Train loss=1.1457, Train accuracy=0.4391]
Training:  34% 442/1293 [01:31<02:52,  4.93batch/s, Train loss=1.1458, Train accuracy=0.4390]
Training:  34% 443/1293 [01:31<02:52,  4.93batch/s, Train loss=1.1458, Train accuracy=0.4390]
Training:  34% 443/1293 [01:31<02:52,  4.93batch/s, Train loss=1.1456, Train accuracy=0.4391]
Training:  34% 444/1293 [01:31<02:52,  4.93batch/s, Train loss=1.1456, Train accuracy=0.4391]
Training:  34% 444/1293 [01:31<02:52,  4.93batch/s, Train loss=1.1456, Train accuracy=0.4390]
Training:  34% 445/1293 [01:31<02:56,  4.81batch/s, Train loss=1.1456, Train accuracy=0.4390]
Training:  34% 445/1293 [01:32<02:56,  4.81batch/s, Train loss=1.1452, Train accuracy=0.4393]
Training:  34% 446/1293 [01:32<02:54,  4.86batch/s, Train loss=1.1452, Train accuracy=0.4393]
Training:  34% 446/1293 [01:32<02:54,  4.86batch/s, Train loss=1.1452, Train accuracy=0.4394]
Training:  35% 447/1293 [01:32<02:54,  4.84batch/s, Train loss=1.1452, Train accuracy=0.4394]
Training:  35% 447/1293 [01:32<02:54,  4.84batch/s, Train loss=1.1455, Train accuracy=0.4394]
Training:  35% 448/1293 [01:32<02:53,  4.87batch/s, Train loss=1.1455, Train accuracy=0.4394]
Training:  35% 448/1293 [01:32<02:53,  4.87batch/s, Train loss=1.1456, Train accuracy=0.4393]
Training:  35% 449/1293 [01:32<02:52,  4.90batch/s, Train loss=1.1456, Train accuracy=0.4393]
Training:  35% 449/1293 [01:32<02:52,  4.90batch/s, Train loss=1.1458, Train accuracy=0.4392]
Training:  35% 450/1293 [01:32<02:54,  4.83batch/s, Train loss=1.1458, Train accuracy=0.4392]
Training:  35% 450/1293 [01:33<02:54,  4.83batch/s, Train loss=1.1457, Train accuracy=0.4394]
Training:  35% 451/1293 [01:33<02:52,  4.89batch/s, Train loss=1.1457, Train accuracy=0.4394]
Training:  35% 451/1293 [01:33<02:52,  4.89batch/s, Train loss=1.1455, Train accuracy=0.4395]
Training:  35% 452/1293 [01:33<02:50,  4.93batch/s, Train loss=1.1455, Train accuracy=0.4395]
Training:  35% 452/1293 [01:33<02:50,  4.93batch/s, Train loss=1.1454, Train accuracy=0.4396]
Training:  35% 453/1293 [01:33<02:50,  4.94batch/s, Train loss=1.1454, Train accuracy=0.4396]
Training:  35% 453/1293 [01:33<02:50,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4398]
Training:  35% 454/1293 [01:33<02:49,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4398]
Training:  35% 454/1293 [01:33<02:49,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4397]
Training:  35% 455/1293 [01:33<02:51,  4.89batch/s, Train loss=1.1452, Train accuracy=0.4397]
Training:  35% 455/1293 [01:34<02:51,  4.89batch/s, Train loss=1.1453, Train accuracy=0.4394]
Training:  35% 456/1293 [01:34<02:49,  4.94batch/s, Train loss=1.1453, Train accuracy=0.4394]
Training:  35% 456/1293 [01:34<02:49,  4.94batch/s, Train loss=1.1450, Train accuracy=0.4395]
Training:  35% 457/1293 [01:34<02:48,  4.95batch/s, Train loss=1.1450, Train accuracy=0.4395]
Training:  35% 457/1293 [01:34<02:48,  4.95batch/s, Train loss=1.1450, Train accuracy=0.4394]
Training:  35% 458/1293 [01:34<02:49,  4.94batch/s, Train loss=1.1450, Train accuracy=0.4394]
Training:  35% 458/1293 [01:34<02:49,  4.94batch/s, Train loss=1.1451, Train accuracy=0.4394]
